000011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110101;-0.3,0.0,-0.3,0.09,0.0,0.0,0.0,
001101;1.6666666470455742,0.16660458784382962,-0.3335215331771185,-0.33341259475357243,-0.33332386207266373,-0.3332552884429346,-0.33341084956250755,
101110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111111;0.0,-0.042,0.8999999999999999,0.0,0.0,0.0,0.0,
101111;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011101;1.6282683713046109,0.5345218012076696,-0.32515688922832925,-0.40283852353909755,-0.25819738084682475,-0.4119438141135359,-0.4210142058501305,
010010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101101;0.9019745320674781,1.4686404113269433,4.9999999879675165,0.4811944970802404,0.821757173875662,0.881041418219469,0.7524977496989425,
111000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000001;1.6524308886649905,-0.05058843805846879,-0.5293282428730371,-0.38778779961468834,0.6217715510241957,-0.5081865610953857,-0.367985136797205,
000000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110011;-0.657,-0.37995,-0.51,0.0,-0.16638599999999998,0.0,-0.51,
111100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101001;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111101;0.7705983475789595,1.9522093089447856,4.999999999968754,0.9857235845958845,0.8217636793916903,0.8706876930564829,0.7078511326393189,
010000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010001;0.0,0.0,0.0,-0.3,0.0,0.0,0.0,
100100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100101;0.0,-0.2511256832064,-0.6783756336998399,0.37535726471615993,0.08327099156613119,-0.4511979282340608,-0.7052884002854398,
111110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000111;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001001;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100000;0.32068066767771475,0.18901350435082853,0.10198769646038011,0.1443564427117704,0.41431978160647165,1.0163317972381591,1.4495831636513277,
110001;-0.9596463929999997,-0.1785,-0.9423519899999997,-0.51,0.0,-0.657,-0.8319300000000001,
011010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010111;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011001;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100111;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000101;1.4788210238408532,0.02285811789688868,-0.6701735999999999,-0.5672735999999999,0.3685388240973367,-0.4373528542847999,-0.4843963467698592,
000100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001111;0.7477199999999999,-0.08447999999999999,-0.3,0.0,-0.44448,0.0,0.0,
100010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111001;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110111;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010101;0.0,0.0,0.0,0.0,0.0,0.0,-0.3,
011110;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010100;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011111;1.15998888096,0.21716746571520001,-0.44448,-0.6701735999999999,-0.42027359999999997,-0.6824585519999998,-0.44448,
100001;-0.9903110989592998,-0.4991857932010446,-0.9976736948601277,-0.9903110989592998,0.0,-0.9988601104814625,-0.9861587127989999,
111010;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111011;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001000;0.0,0.0,0.0,0.0,0.0,0.0,0.0,
